Date,NFLX,META,MSFT
2024-05-14,613.6599731445312,469.7734069824219,411.968994140625
2024-05-15,613.52001953125,479.4207763671875,419.171875
2024-05-16,610.52001953125,471.1473693847656,417.1011657714844
2024-05-17,621.0999755859375,469.83319091796875,416.3283996582031
2024-05-20,640.8200073242188,466.77667236328125,421.41094970703125
2024-05-21,650.6099853515625,462.5852355957031,425.07684326171875
2024-05-22,640.469970703125,465.7213439941406,426.5431213378906
2024-05-23,635.6699829101562,463.7301330566406,423.0556640625
2024-05-24,646.75,476.1154479980469,426.18646240234375
2024-05-28,649.0,477.8079528808594,426.3450012207031
2024-05-29,654.6199951171875,472.2723693847656,425.20562744140625
2024-05-30,647.6599731445312,464.9945373535156,410.8395690917969
2024-05-31,641.6199951171875,464.7755126953125,411.2953186035156
